passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
5281,1549,21376,19977,2017,6,F,5603,4641,13930,11292,694,UA,1485
4737,917,0,19393,2017,6,F,3676,3063,10713,11292,612,WN,1486
4958,13681,0,19393,2017,6,F,5656,5026,11292,11066,612,WN,1487
4990,4064,0,19393,2017,6,F,7631,6880,11292,13204,612,WN,1488
4886,3250,0,19393,2017,6,F,7428,6723,11292,15304,612,WN,1489
6252,6723,0,19393,2017,6,F,8330,7622,13204,11292,614,WN,1490
1478,0,0,20237,2017,6,F,5210,4278,13367,11292,675,AX,1491
1568,0,0,20304,2017,6,F,3862,3004,10627,11292,629,OO,1492
1382,0,0,20304,2017,6,F,3745,2811,11292,10627,629,OO,1493
4290,6000,12898,19977,2017,6,F,5541,4479,14771,11292,698,UA,1494
5135,7039,0,19393,2017,6,F,8039,7112,11292,12953,612,WN,1495
4814,5181,0,19393,2017,6,F,5041,4316,11292,14570,612,WN,1496
3939,4141,3993,19930,2017,6,F,6008,5144,11292,14747,612,AS,1497
1542,0,0,20237,2017,6,F,3652,2725,13029,11292,675,AX,1498
5182,9331,0,19393,2017,6,F,6025,5396,11292,14057,612,WN,1499
4029,1856,0,19930,2017,6,F,5355,4405,14747,11292,612,AS,1500
4784,7185,0,19393,2017,6,F,4142,3552,11292,10713,612,WN,1501
4248,610,0,19977,2017,6,F,4302,3403,11423,11292,698,UA,1502
4415,3569,0,19977,2017,6,F,3658,2895,11292,11423,698,UA,1503
5580,9102,23238,19977,2017,6,F,5546,4438,12892,11292,694,UA,1504
2804,0,0,20304,2017,6,F,4713,3713,15376,11292,673,OO,1505
382,0,0,20358,2017,6,F,3470,2829,11292,14534,405,ZK,1506
4638,441,2148,19977,2017,6,F,5131,4503,11292,14679,698,UA,1507
2826,0,0,20304,2017,6,F,4704,3576,10713,11292,673,OO,1508
1453,0,0,20304,2017,6,F,2945,2083,14457,11292,629,OO,1509
4750,1089,9758,19977,2017,6,F,5363,4332,14679,11292,698,UA,1510
3950,210,0,19977,2017,6,F,5008,4110,11003,11292,698,UA,1511
3976,92,0,19977,2017,6,F,4365,3565,11292,11003,698,UA,1512
4739,620,0,19977,2017,6,F,3375,2592,11292,12441,694,UA,1513
5843,3087,25177,19977,2017,6,F,6226,4846,11292,12892,694,UA,1514
5009,1674,21481,19977,2017,6,F,4882,3797,11298,11292,698,UA,1515
4051,39,0,19977,2017,6,F,4798,3951,11648,11292,698,UA,1516
6430,3863,0,19393,2017,6,F,4203,3363,12889,11292,614,WN,1517
6641,8682,0,19393,2017,6,F,5316,4588,15016,11292,614,WN,1518
351,0,0,20358,2017,6,F,3414,2686,14534,11292,405,ZK,1519
4557,7710,1601,19790,2017,6,F,3091,2212,14869,11292,698,DL,1520
2660,0,0,20304,2017,6,F,6505,5414,11292,10800,673,OO,1521
2630,0,0,20304,2017,6,F,4054,2994,11292,13851,673,OO,1522
2448,0,0,20304,2017,6,F,3055,2009,11292,14457,673,OO,1523
1887,0,0,20304,2017,6,F,3834,2740,11292,14869,629,OO,1524
2797,0,0,20304,2017,6,F,4417,3436,13851,11292,673,OO,1525
4866,2812,0,19977,2017,6,F,5368,4457,11292,11648,698,UA,1526
6536,2061,23689,19977,2017,6,F,6045,5170,11292,14893,634,UA,1527
