"PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,620058.00,0.00,626.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10194,1019403,30194,"AFW","Dallas/Fort Worth, TX","TX","48","Texas",74,2017,2,6,2,"G",
0.00,39954.00,0.00,455.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10620,1062002,30620,"BIL","Billings, MT","MT","30","Montana",84,2017,2,6,1,"G",
0.00,16753.00,0.00,641.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX","48","Texas",74,2017,2,6,2,"G",
0.00,67964.00,0.00,563.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11540,1154003,30615,"ELP","El Paso, TX","TX","48","Texas",74,2017,2,6,2,"G",
0.00,2591148.00,0.00,977.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,2017,2,6,2,"G",
0.00,50142.00,0.00,533.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,2017,2,6,2,"G",
0.00,4438618.00,0.00,872.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,2017,2,6,2,"G",
0.00,23383.00,0.00,1062.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13495,1349503,33495,"MSY","New Orleans, LA","LA","22","Louisiana",72,2017,2,6,3,"G",
0.00,147267.00,0.00,957.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13796,1379604,32457,"OAK","Oakland, CA","CA","06","California",91,2017,2,6,2,"G",
0.00,47075.00,0.00,391.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,2017,2,6,1,"G",
0.00,42470.00,0.00,639.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,15376,1537602,30436,"TUS","Tucson, AZ","AZ","04","Arizona",81,2017,2,6,2,"G",
0.00,40799.00,0.00,160.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11413,1141304,30285,"DRO","Durango, CO","CO","08","Colorado",82,10140,1014003,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,2017,2,6,1,"G",
0.00,147172.00,0.00,632.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11638,1163805,31638,"FAT","Fresno, CA","CA","06","California",91,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,2017,2,6,2,"G",
0.00,20720.00,0.00,40.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11711,1171102,31711,"FMN","Farmington, NM","NM","35","New Mexico",86,11413,1141304,30285,"DRO","Durango, CO","CO","08","Colorado",82,2017,2,6,1,"G",
0.00,66319.00,0.00,207.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,2017,2,6,1,"G",
0.00,298062.00,0.00,632.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,11638,1163805,31638,"FAT","Fresno, CA","CA","06","California",91,2017,2,6,2,"G",
0.00,321148.00,0.00,1061.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,2017,2,6,3,"G",
0.00,42190.00,0.00,216.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,11921,1192102,31921,"GJT","Grand Junction, CO","CO","08","Colorado",82,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,2017,2,6,1,"G",
0.00,11749.00,0.00,172.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,12094,1209402,34699,"HDN","Hayden, CO","CO","08","Colorado",82,11122,1112203,31122,"CPR","Casper, WY","WY","56","Wyoming",88,2017,2,6,1,"G",
0.00,3070659.00,0.00,977.00,"FX",20107,"Federal Express Corporation","06200","D","FX","Federal Express Corporation",3,3,12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,2,"G",
